AGE;GNDR;ADMIT;COLLEGE;STUDENT_MAJOR;DIPLOMA_DESCRIPTION;STUDENT_LEVEL;SCHOOL;SCHOOL_CITY;CITIZENSHIP
20;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Literature;Undergraduate;Al Dheet Secondary G;RAS AL KHAIMAH - EMI;UAE-Ras Alkhaimah
18;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;IG -Literature;Undergraduate;Undeclared;;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;IG -Scientific;Undergraduate;Inter. Sch.Of Creative Science;Sharjah;Non Citizen
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Literature;Undergraduate;Salma Bint Qais Secondary G;DABA AL HESSEN;UAE-Sharjah
20;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Literature;Undergraduate;Al Sho'ala Private Sch.;SHARJAH;Non Citizen
18;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;High School -Scientific;Undergraduate;Dubai International Secondary;DUBAI;Non Citizen
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Scientific;Undergraduate;Al Sho'ala Private Sch.;SHARJAH;Non Citizen
18;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Scientific;Undergraduate;Al Ahlia Pvt Secondary;SHARJAH;Non Citizen
20;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Scientific;Undergraduate;Mareya Al-Qebteya Secondary G;DUBAI;Non Citizen
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Scientific;Undergraduate;Aisha Bint Abi Bakr Sec.  G;ABU DHABI;Non Citizen
20;F;Fall 2010-2011;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Literature;Undergraduate;Al Gobaibah Secondary G.;SHARJAH;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Literature;Undergraduate;Waset Secondary G;SHARJAH;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Literature;Undergraduate;Al Nouf Girls' School;Sharjah;UAE-Sharjah
23;F;Fall 2010-2011;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Scientific;Undergraduate;Mozairie Secondary;AJMAN;UAE-Ajman
23;F;Fall 2010-2011;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Scientific;Undergraduate;Mozairie Secondary;AJMAN;UAE-Abu Dhabi
20;F;Fall 2010-2011;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Literature;Undergraduate;Undeclared;;GCC
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;History & Islamic Civilization;High School -Literature;Undergraduate;Al Itehad Pvt Secondary;DUBAI;UAE-Dubai
21;M;Fall 2010-2011;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Scientific;Undergraduate;Seif Bin Hamad Al-Sharqi B.Sec;Fujairah;UAE-Al Fujairah
24;F;Fall 2010-2011;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Literature;Undergraduate;Undeclared;;UAE-Dubai
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Literature;Undergraduate;Al-Thumeed Sec.G.;Sharjah;UAE-Sharjah
26;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;;Undergraduate;;;Non Citizen
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Scientific;Undergraduate;Najd Secondary School;RIYADH;GCC
20;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Al Waha Secondary School;DUBAI;Non Citizen
23;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Al Gobaibah Secondary G.;SHARJAH;UAE-Sharjah
20;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Al Wahda Private School;;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Salma Bint Qais Secondary G;DABA AL HESSEN;UAE-Sharjah
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Al Reffa'a Secondary G.;SHARJAH;UAE-Sharjah
20;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Undeclared;;UAE-Dubai
22;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Rouqaya Sec. Sch. G.;Sharjah;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Al-Thumeed Sec.G.;Sharjah;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Al-Thumeed Sec.G.;Sharjah;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Al-Thumeed Sec.G.;Sharjah;UAE-Sharjah
22;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Bacalorate -Literature;Undergraduate;Salma Bint Qais Secondary G;DABA AL HESSEN;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Undeclared;;UAE-Sharjah
21;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Al Reffa'a Secondary G.;SHARJAH;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Fatima Al Zahra' Secondary G.;SHARJAH;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Jameela Bou Hurraid Sec G;SHARJAH;UAE-Sharjah
22;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Um Amarah Sec. Sch. Edu. G.;Sharjah;UAE-Sharjah
24;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Bahithat Al Badyeh Secondary G;SHARJAH;UAE-Sharjah
20;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Fatima Al Zahra' Secondary G.;SHARJAH;UAE-Sharjah
20;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Fatima Al Zahra' Secondary G.;SHARJAH;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Al Rafee'a Secondary;SHARJAH;UAE-Sharjah
21;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Fatima Al Zahra' Secondary G.;SHARJAH;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Al-Ibda'a Girls' Sec.Sch.;Sharjah;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Al Wahda Private School;Sharjah;Non Citizen
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Al Reffa'a Secondary G.;SHARJAH;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Scientific;Undergraduate;Al Nour Intrnational Pvt B;SHARJAH - EMIRATE;Non Citizen
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Al Reffa'a Secondary G.;SHARJAH;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Scientific;Undergraduate;Al Nour Intrnational Pvt B;SHARJAH - EMIRATE;Non Citizen
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Shifa'a Bint Abdullah Sec;SHARJAH;UAE-Sharjah
20;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Jameela Bou Hurraid Sec G;SHARJAH;UAE-Sharjah
23;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Fatima Al Zahra' Secondary G.;SHARJAH;Non Citizen
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;AL Noor Int'l School;;Non Citizen
21;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Bahithat Al Badyeh Secondary G;SHARJAH;UAE-Sharjah
21;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Al Shifa Bint Abdulla Ctr;KALBA;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Salma Bint Qais Secondary G;DABA AL HESSEN;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Scientific;Undergraduate;Jameela Bou Hurraid Sec G;SHARJAH;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Bahithat Al Badyeh Secondary G;SHARJAH;UAE-Sharjah
20;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Shifa'a Bint Abdullah Sec;SHARJAH;UAE-Sharjah
20;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Salman Al Farresi Secondary;SHARJAH;GCC
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Al Heerah Secondary G;SHARJAH;UAE-Sharjah
20;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Manazel Sharjah;SHARJAH;Nil (No Official Documents)
24;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;Undergraduate;Women Union Assoc School;SHARJAH;Non Citizen
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Sociology;Secondary School -Scientific;Undergraduate;Waset Secondary G;SHARJAH;UAE-Sharjah
29;F;Fall 2010-2011;Business Administration;Business Administration;Bachelor of Science;Graduate;University of Sharjah;SHARJAH;UAE-Sharjah
